"Time","Region Code","Region","Consumer Price Index (All items) 2020 base","Annotation"
"Jan.1970","00000","Japan","30.3",""
"Feb.1970","00000","Japan","30.3",""
"Mar.1970","00000","Japan","30.6",""
"Apr.1970","00000","Japan","30.9",""
"May 1970","00000","Japan","30.8",""
"Jun.1970","00000","Japan","30.8",""
"Jul.1970","00000","Japan","30.8",""
"Aug.1970","00000","Japan","30.7",""
"Sep.1970","00000","Japan","31.2",""
"Oct.1970","00000","Japan","31.7",""
"Nov.1970","00000","Japan","31.7",""
"Dec.1970","00000","Japan","31.9",""
"Jan.1971","00000","Japan","32.2",""
"Feb.1971","00000","Japan","32.2",""
"Mar.1971","00000","Japan","32.3",""
"Apr.1971","00000","Japan","32.7",""
"May 1971","00000","Japan","32.8",""
"Jun.1971","00000","Japan","32.9",""
"Jul.1971","00000","Japan","32.9",""
"Aug.1971","00000","Japan","32.9",""
"Sep.1971","00000","Japan","33.7",""
"Oct.1971","00000","Japan","33.8",""
"Nov.1971","00000","Japan","33.5",""
"Dec.1971","00000","Japan","33.5",""
"Jan.1972","00000","Japan","33.5",""
"Feb.1972","00000","Japan","33.7",""
"Mar.1972","00000","Japan","34.0",""
"Apr.1972","00000","Japan","34.4",""
"May 1972","00000","Japan","34.5",""
"Jun.1972","00000","Japan","34.5",""
"Jul.1972","00000","Japan","34.5",""
"Aug.1972","00000","Japan","34.8",""
"Sep.1972","00000","Japan","35.0",""
"Oct.1972","00000","Japan","35.2",""
"Nov.1972","00000","Japan","35.1",""
"Dec.1972","00000","Japan","35.4",""
"Jan.1973","00000","Japan","35.7",""
"Feb.1973","00000","Japan","36.0",""
"Mar.1973","00000","Japan","36.9",""
"Apr.1973","00000","Japan","37.6",""
"May 1973","00000","Japan","38.2",""
"Jun.1973","00000","Japan","38.3",""
"Jul.1973","00000","Japan","38.6",""
"Aug.1973","00000","Japan","38.9",""
"Sep.1973","00000","Japan","40.0",""
"Oct.1973","00000","Japan","40.2",""
"Nov.1973","00000","Japan","40.5",""
"Dec.1973","00000","Japan","41.8",""
"Jan.1974","00000","Japan","43.6",""
"Feb.1974","00000","Japan","45.0",""
"Mar.1974","00000","Japan","45.3",""
"Apr.1974","00000","Japan","46.4",""
"May 1974","00000","Japan","46.6",""
"Jun.1974","00000","Japan","46.9",""
"Jul.1974","00000","Japan","47.8",""
"Aug.1974","00000","Japan","48.3",""
"Sep.1974","00000","Japan","49.0",""
"Oct.1974","00000","Japan","50.1",""
"Nov.1974","00000","Japan","50.5",""
"Dec.1974","00000","Japan","50.6",""
"Jan.1975","00000","Japan","51.2",""
"Feb.1975","00000","Japan","51.3",""
"Mar.1975","00000","Japan","51.7",""
"Apr.1975","00000","Japan","52.6",""
"May 1975","00000","Japan","52.9",""
"Jun.1975","00000","Japan","52.9",""
"Jul.1975","00000","Japan","53.1",""
"Aug.1975","00000","Japan","52.9",""
"Sep.1975","00000","Japan","54.1",""
"Oct.1975","00000","Japan","54.9",""
"Nov.1975","00000","Japan","54.7",""
"Dec.1975","00000","Japan","54.7",""
"Jan.1976","00000","Japan","55.7",""
"Feb.1976","00000","Japan","56.1",""
"Mar.1976","00000","Japan","56.3",""
"Apr.1976","00000","Japan","57.6",""
"May 1976","00000","Japan","57.8",""
"Jun.1976","00000","Japan","57.9",""
"Jul.1976","00000","Japan","58.3",""
"Aug.1976","00000","Japan","57.9",""
"Sep.1976","00000","Japan","59.4",""
"Oct.1976","00000","Japan","59.7",""
"Nov.1976","00000","Japan","59.7",""
"Dec.1976","00000","Japan","60.4",""
"Jan.1977","00000","Japan","60.9",""
"Feb.1977","00000","Japan","61.3",""
