STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2012-Q2,,1762097434504.69,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2012-Q3,,1774879946026.41,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2012-Q4,,1791435694135.55,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2013-Q1,,1813034946129.54,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1989-Q1,,557340994392.016,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1985-Q1,,395190719751.44,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1985-Q2,,404165087093.928,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1985-Q3,,414568787284.273,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1985-Q4,,423657990454.397,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1986-Q1,,429559611842.559,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2010-Q2,,1666115055670.56,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2010-Q3,,1672684031381.98,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1994-Q1,,819519892469.834,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1994-Q2,,821177826177.856,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1994-Q3,,829207053918.251,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1994-Q4,,846574715946.078,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1995-Q1,,854647497729.697,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1995-Q2,,867527893959.137,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1995-Q3,,880140963917.335,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1995-Q4,,897137844825.158,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1986-Q2,,433637938100.811,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1986-Q3,,441215128264.103,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1986-Q4,,450436278607.831,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1987-Q1,,459657413194.705,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1987-Q2,,469982071869.323,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1987-Q3,,482426900808.551,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1987-Q4,,490778835025.084,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1988-Q1,,499835260325.814,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1988-Q2,,513689744125.974,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1988-Q3,,526805882782.736,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,1988-Q4,,542159232470.334,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2004-Q4,,1357982754072.76,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2005-Q1,,1366243395589.48,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2005-Q2,,1390531172778.58,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2005-Q3,,1399631927171.21,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2005-Q4,,1412128905511.28,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_114@DF_EO_114(1.0),Economic Outlook 114,I,GBR,United Kingdom,GDPTR,"Potential output, nominal value",Q,Quarterly,2006-Q1,,1428912859972.27,,,,XDC,National currency,0,Units,,,,,,,2,Two,V,Current prices,,
